GEOID,county,Pop,White,Black,Asian,Hispanic
48085031811,085,1662,57.76,2.29,24.19,11.43
48085031812,085,1120,83.04,0.0,12.23,4.73
48085031813,085,2287,41.41,8.48,25.54,22.82
48085031814,085,1932,72.2,1.97,2.69,22.05
48085031815,085,3764,75.58,6.93,8.48,4.97
48085031816,085,2054,60.37,0.0,12.41,6.43
48085031901,085,3271,34.85,21.13,7.43,27.73
48085031902,085,3039,35.21,16.98,4.94,40.87
48085031903,085,662,43.5,37.92,11.48,3.63
48085031904,085,1680,46.25,10.89,13.93,21.73
48085032003,085,5380,32.25,3.31,1.6,60.2
48085032008,085,4372,60.0,7.16,10.29,18.14
48085032010,085,6947,26.18,13.39,15.81,41.02
48085032012,085,3869,23.83,6.44,0.7,65.62
48085032013,085,6252,22.98,13.5,22.95,35.81
48085032014,085,5335,15.88,5.0,0.0,78.97
48085032015,085,3095,58.97,25.88,0.0,12.54
48085032016,085,2666,33.68,12.6,44.19,8.36
48085032017,085,4649,42.76,10.91,36.01,5.08
48085032018,085,2748,66.08,13.54,12.3,7.24
48085032019,085,3147,50.84,5.97,34.32,3.46
48113021000,113,5376,2.72,39.99,0.0,56.66
48113021100,113,4636,2.61,58.09,0.0,39.3
48113021200,113,4997,8.1,7.94,0.72,83.15
48113980000,113,0,,,,
48113980100,113,0,,,,
48113980200,113,1788,28.36,3.97,40.94,14.77
48121020109,121,7227,63.95,6.57,18.72,6.42
48121020110,121,5828,52.57,15.51,15.2,12.49
48121020111,121,4202,63.95,13.9,7.21,12.73
48121020112,121,3521,55.86,14.74,12.72,14.68
48121020115,121,6573,60.75,8.44,1.83,22.9
48121020116,121,5030,87.38,2.92,0.22,6.52
48121020117,121,1981,91.72,3.58,1.46,1.62
48121020118,121,5057,64.96,3.64,0.0,27.43
48121020119,121,5619,47.43,27.8,2.87,21.91
48121020120,121,7956,43.99,17.79,3.26,28.02
48121020121,121,4635,78.23,5.61,0.0,15.51
48121020122,121,4374,70.16,11.87,0.59,14.49
48121020123,121,4339,55.63,18.76,2.01,19.11
48121020124,121,2337,69.32,9.29,0.0,17.76
48121020125,121,6872,63.02,14.6,0.8,13.5
48121020126,121,4480,52.12,11.79,2.92,25.51
48121020127,121,8317,37.49,16.74,16.57,26.36
48121020128,121,7943,56.09,12.98,16.45,10.63
48121020129,121,2616,68.96,0.0,0.27,26.95
48121020130,121,1305,70.04,0.0,7.43,22.38
48121020131,121,7046,58.81,16.86,0.78,20.72
48121020132,121,7086,50.93,25.37,17.82,2.29
48121020133,121,8564,50.5,13.84,7.3,13.48
48121020134,121,4810,21.14,21.77,25.26,29.98
48121020135,121,5126,54.51,23.92,6.32,12.86
48121020136,121,2268,64.07,19.97,3.75,8.99
48121020137,121,2562,62.3,19.87,0.0,3.4
48121020203,121,6721,71.11,3.81,0.58,22.02
48121020204,121,5239,75.95,8.46,2.62,12.16
48121020205,121,2188,79.11,0.0,0.0,19.33
48257050213,257,4468,69.16,8.26,4.01,15.24
48257050214,257,3579,57.75,20.37,0.0,21.88
48257050215,257,6906,79.57,5.88,0.29,12.6
48257050300,257,4228,51.11,12.49,0.0,32.12
48257050401,257,2941,32.98,17.58,0.0,44.98
48257050402,257,5077,56.77,16.96,0.0,25.47
48257050500,257,5523,29.59,48.81,0.63,16.8
48257050601,257,3190,61.72,8.28,1.38,23.07
48257050602,257,4227,82.54,12.94,0.0,2.84
48257050701,257,4585,71.43,2.46,0.0,25.43
48257050703,257,3391,51.99,0.18,0.0,46.21
48257050704,257,6381,46.48,4.94,0.0,42.86
48257050801,257,3140,77.32,0.06,0.51,16.82
48257050802,257,7054,82.41,3.43,0.35,11.11
48257051000,257,1476,30.08,14.16,0.0,55.76
48257051100,257,6382,61.45,6.2,0.0,31.56
48257051201,257,3235,70.54,3.89,0.0,24.61
48257051202,257,5544,73.59,5.16,0.23,16.31
48257051301,257,5664,83.12,4.64,0.58,9.3
48257051302,257,2845,90.26,3.69,0.53,4.43
48121020206,121,2600,87.04,0.0,0.0,11.08
48121020207,121,3360,81.49,0.0,0.68,13.87
48121020208,121,2885,72.13,5.89,0.0,21.53
48121020305,121,6501,92.94,0.43,1.48,3.51
48121020310,121,4048,95.11,0.62,1.46,1.19
48121020311,121,2732,62.23,7.21,13.58,14.71
48121020312,121,4522,74.35,1.48,6.94,13.29
48121020313,121,4565,86.97,0.2,0.31,9.81
48121020314,121,8250,73.84,4.22,1.98,16.01
48121020315,121,4331,59.73,1.29,0.9,36.41
48121020316,121,3658,95.41,0.27,0.0,2.1
48121020317,121,3437,84.55,2.91,3.87,5.96
48121020318,121,5353,84.44,1.7,1.72,12.14
48121020319,121,5821,67.93,4.9,0.0,23.23
48121020320,121,5808,56.53,5.41,2.07,31.49
48121020321,121,6121,69.89,4.54,6.63,16.99
48121020322,121,7180,72.52,1.04,2.94,18.87
48121020402,121,6292,77.54,4.39,1.03,13.81
48121020403,121,3395,82.09,1.5,1.77,12.25
48121020404,121,4607,55.63,3.34,4.47,25.31
48121020405,121,4265,78.69,0.63,1.52,17.33
48121020504,121,3967,46.43,12.35,0.0,35.59
48121020505,121,7189,78.87,2.53,1.79,15.73
48121020506,121,1686,66.01,2.08,1.01,28.71
48121020507,121,3536,58.48,0.96,0.85,37.98
48121020508,121,3067,59.83,7.96,4.53,20.74
48121020601,121,5143,41.18,19.54,5.27,30.76
48121020603,121,3210,33.18,5.08,0.0,57.66
48121020604,121,3571,45.11,6.78,2.35,43.6
48121020605,121,2905,45.82,26.27,2.96,24.51
48121020700,121,3195,62.28,8.79,8.11,18.47
48121020800,121,6691,44.12,16.23,1.61,35.75
48121020900,121,4651,41.67,20.6,9.78,24.66
48121021000,121,6177,48.73,6.82,12.76,24.95
48121021100,121,3391,67.03,5.28,10.2,17.16
48121021202,121,4401,35.74,31.22,1.64,28.72
48121021203,121,3358,37.94,26.47,2.26,27.64
48121021204,121,3872,48.06,26.58,0.67,19.55
48121021301,121,3793,47.35,20.62,10.97,19.48
48121021304,121,6136,64.7,13.98,4.69,12.47
48121021305,121,4110,67.69,6.13,3.07,16.23
48121021306,121,3130,59.04,3.42,6.96,20.89
48121021307,121,5278,64.63,11.99,1.57,17.32
48121021410,121,4838,80.01,4.59,8.02,4.2
48121021411,121,7454,51.84,2.91,0.83,42.14
48121021412,121,5393,77.3,7.08,2.32,11.46
48425000101,425,4112,68.63,2.43,0.0,28.72
48425000102,425,3068,92.96,0.0,1.86,5.18
48425000200,425,1778,82.9,0.17,0.0,16.14
48113000100,113,3985,76.94,7.98,2.53,7.55
48113000201,113,2809,90.32,2.17,0.43,6.16
48113000202,113,3876,78.38,1.55,2.22,13.18
48113000300,113,4815,83.45,2.7,0.75,11.61
48113000401,113,4645,34.34,17.33,5.81,40.11
48113000405,113,2406,27.06,36.45,2.54,33.08
48113000407,113,2039,28.0,5.25,6.42,60.32
48113000408,113,2465,53.63,6.53,11.48,25.64
48113000409,113,3560,32.19,9.78,19.58,32.11
48113000410,113,5078,22.49,1.6,0.39,75.52
48113000501,113,2063,40.96,12.75,17.84,23.65
48113000502,113,2117,81.34,3.78,5.2,9.68
48113000503,113,2007,60.89,19.53,16.24,3.34
48113000605,113,2324,64.33,1.46,14.72,12.99
48113000606,113,2838,78.79,4.72,5.64,7.58
48113000607,113,2148,78.31,4.56,7.87,6.28
48113000608,113,2456,69.54,3.01,14.05,12.42
48113000609,113,1643,53.07,19.29,4.75,16.37
48113000610,113,2573,5.71,5.56,0.0,88.73
48113000611,113,1980,47.22,23.89,5.56,21.01
48113000703,113,2851,68.71,2.14,16.38,12.31
48113000704,113,3166,69.55,7.04,7.83,11.91
48113000705,113,2146,76.1,4.19,4.52,14.73
48113000706,113,1602,88.01,4.37,0.81,6.8
48113000801,113,3685,32.43,18.7,4.91,40.05
48113000802,113,3565,35.57,12.06,3.39,44.21
